PLOT	LandCoverType	Lemmings	CH4_Flux	C_CO2eq	GEE	NEE	SoilTemp_1	SoilTemp_10	NDVI	Albedo
21C	Dry	control	-5.708030373	0.058297643	0.9412467	-0.072987056	10.6	5.6	0.470312389	0.219830405
22C	Dry	control	3.301540905	0.399320022	1.37445234	0.475255463	15.6	6.7	0.421772174	0.225121819
23C	Dry	control	-1.004404766	0.509018054	2.409044783	0.485916744	10.0	6.7	0.572255895	0.228623628
24C	Dry	control	16.49052197	-0.4078186	1.332849556	-0.028536595	12.2	5.0	0.46371696	0.228355636
15C	Mst	control	17.18953978	1.995898543	4.734673621	2.391257958	6.1	2.2	0.439267466	0.205110511
11C	Mst	control	15.73611824	-0.353672958	1.789660322	0.008257762	7.8	2.2	0.551888539	0.197863151
28C	Mst	control	-1.029424284	-0.134715922	1.399103633	-0.15839268	20.0	1.7	0.336208246	0.233185069
7C	Mst	control	1.105178362	3.273147533	5.26671646	3.298566635	11.1	1.7	0.600769628	0.180175903
17C	Wet	control	45.84941939	0.313788405	4.07839678	1.368325051	18.3	7.8	0.66806971	0.17955952
19C	Wet	control	49.64696337	-0.116228778	6.652730961	1.02565138	22.2	13.3	0.672781195	0.168602006
18C	Wet	control	61.80188653	-0.006314069	5.797235188	1.415129322	20.0	7.2	0.760228242	0.137716478
29C	Wet	control	22.3964319	-0.113877218	1.949562024	0.401240716	12.2	1.7	0.531142112	0.190285607
22E	Dry	exclusion	3.578678369	0.473380401	4.073697814	0.555690004	12.2	7.8	0.447135635	0.23151503
23E	Dry	exclusion	5.430814628	-0.026630201	0.872651923	0.098278535	13.3	6.7	0.479052954	0.206789646
24E	Dry	exclusion	20.79666687	0.197144361	2.456619825	0.675467699	15.0	5.6	0.503546821	0.229044372
21E	Dry	exclusion	9.392804512	0.073776111	1.852074915	0.289810615	16.1	5.0	0.468451623	0.223453124
7E	Mst	exclusion	1.089676669	0.483182886	1.82318095	0.508245449	7.2	1.7	0.503089328	0.202372065
15E	Mst	exclusion	2.897395511	-0.034451842	2.254295891	0.032188254	10.0	0.6	0.536601908	0.218483277
11E	Mst	exclusion	17.19613203	-0.07139078	2.708694061	0.324120256	10.6	0.0	0.584427404	0.234902225
28E	Mst	exclusion	-35.4107866	1.687688642	2.370356641	0.87324055	11.1	5.6	0.487746578	0.211176293
18E	Wet	exclusion	-18.33569418	-0.903952337	2.979064158	-1.325673303	12.8	5.0	0.433321838	0.198553524
17E	Wet	exclusion	2.862833883	-1.731126451	1.333973746	-1.665281272	15.0	3.9	0.406391811	0.203118871
19E	Wet	exclusion	16.90386567	-0.459843671	0.843513675	-0.07105476	16.1	11.7	0.530994443	0.218278828
29E	Wet	exclusion	42.17478757	-1.504597498	2.567235281	-0.534577384	20.0	8.3	0.540058442	0.183812501
