Chemical	Kow	LC50 (mmol/L)
Aldrin	1023	2.25e-05
Captan	200	0.000665
Catechol	8	0.0817
Carbofuran	209	0.00394
Propoxur	32	0.0421
Lindane	5012	0.000299
Benomyl	200	0.00758
Dieldrin	158489	9.98e-06
Propyl acetate	17	0.587
Butyl acetate	66	0.155
Aniline	8	1.44
Heptachlor	186209	6.16e-05
Methoxychlor	120226	0.000113
Malathion	631	0.0262
Carbaryl	229	0.0726
1,1,2,2-Tetrachloroethane	245	0.121
Parathion-methyl	1000	0.0338
Cyclohexanone	6	5.37
Methyl methacrylate	24	1.59
1,2-Dichloroethane	30	1.37
Dichloromethane	18	2.35
Parathion	6310	0.00807
p,p-DDT	1548817	3.44e-05
Hexachloroethane	8511	0.00646
 Ethylbenzene	1349	0.0424
Acetophenone	43	1.35
Benzo[b]thiophene	1318	0.0453
Diazinon	1995	0.0307
Nitrobenzene	71	0.95
Chlorobenzene	631	0.15
Tetrachloroethylene	759	0.129
2-Hexanone	24	4.27
Trichloroethylene	339	0.31
Carbon tetrachloride	437	0.269
3-Pentanone	7	17.9
1,2-Dichloropropane	100	1.23
2-Heptanone	120	1.15
Naphthalene	2344	0.0608
Cyclohexanol	17	10.3
1,2,4-Trichlorobenzene	12589	0.0165
cis-Chlordane	1000000	0.000281
trans-Chlordane	1000000	0.000281
Diphenyl ether	16218	0.0235
1,4-Dichlorobenzene	2512	0.229
